数据时间,1分钟内记录总数,设备编号,流量(L/s)(均值),流速(m/s)(均值),液位(m)(均值)
2026-03-07 06:11:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:12:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:W6:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:14:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:W2:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:W3:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:17:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:18:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:19:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:20:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:21:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:22:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:23:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:24:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:25:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:26:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:27:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:28:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:29:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:30:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:31:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:32:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:33:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:34:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:35:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:36:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:37:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:38:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:39:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:40:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:41:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:42:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:43:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:44:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:45:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:46:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:47:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:48:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:49:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:50:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:51:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:52:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:53:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:54:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:55:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:56:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:57:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:58:00,1,23620110,0.0,0.0,0.259
2026-03-07 06:59:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:00:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:01:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:02:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:03:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:04:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:05:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:06:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:07:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:08:00,1,23620110,0.0,0.0,0.264
2026-03-07 07:09:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:10:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:11:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:12:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:W6:00,1,23620110,0.0,0.0,0.264
2026-03-07 07:14:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:W2:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:W3:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:17:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:18:00,1,23620110,0.0,0.0,0.264
2026-03-07 07:19:00,1,23620110,0.0,0.0,0.259
2026-03-07 07:20:00,1,23620110,0.0,0.0,0.264
2026-03-07 07:21:00,1,23620110,0.0,0.0,0.264
